key,count,percent_of_total_changes
building,386640,7.5
highway,171625,3.33
source,147141,2.86
name,116302,2.26
natural,87120,1.69
leaf_type,66267,1.29
genus,65054,1.26
species,64834,1.26
genus:it,62921,1.22
species:it,61091,1.19
surface,54069,1.05
leaf_cycle,50755,0.98
species:wikidata,50688,0.98
attribute_source_date,42373,0.82
attribute_source_type,40552,0.79
landuse,37190,0.72
geometry_source_type,36221,0.7
addr:street,36121,0.7
geometry_source_date,35529,0.69
SurfaceCondition,28025,0.54
amenity,27110,0.53
operational_status,26289,0.51
Surface,25391,0.49
addr:country,24983,0.48
addr:housenumber,24792,0.48
operational_status_quality,24403,0.47
Practicability,23940,0.46
Operational_status,21531,0.42
Operational_status_quality,20497,0.4
addr:city,19891,0.39
maxspeed,19331,0.38
oneway,19197,0.37
genus:wikidata,15264,0.3
practicability,14739,0.29
building:levels,14641,0.28
lit,14438,0.28
waterway,14207,0.28
lanes,13316,0.26
Geometry_source_type,13195,0.26
Geometry_source_date,12158,0.24
barrier,11802,0.23
addr:postcode,10724,0.21
ref,10368,0.2
roof:shape,9462,0.18
roof:material,9327,0.18
building:use,9264,0.18
building:adjacency,9204,0.18
shape:plan,9193,0.18
Attribute_source_date,9139,0.18
Attribute_source_type,9127,0.18
building:irregularity,8973,0.17
building:levels:underground,8973,0.17
roof:cover:material,8973,0.17
building:groundslope,8972,0.17
roof_shade:present,8971,0.17
physical:condition,8969,0.17
wall:material,8963,0.17
wall:thickness,8842,0.17
damage:event,8091,0.16
operator_type,7851,0.15
smoothness,7756,0.15
Source,7740,0.15
operator,7594,0.15
source:maxspeed,7512,0.15
bicycle,7382,0.14
place,7176,0.14
surface_condition,7136,0.14
layer,6982,0.14
project,6663,0.13
cosmha,6574,0.13
column:size:breadth,6548,0.13
column:size:length,6548,0.13
service,6118,0.12
foot,6026,0.12
access,5769,0.11
website,5655,0.11
crossing,5522,0.11
floor:material,5336,0.1
shop,5308,0.1
addr:district,5243,0.1
taxon,5223,0.1
tourism,5155,0.1
building:adjacency:level,4600,0.09
sidewalk,4530,0.09
footway,4409,0.09
phone,4194,0.08
cycleway:right,4121,0.08
idp:camp_site,4060,0.08
public_transport,3764,0.07
name:etymology:wikidata,3693,0.07
tactile_paving,3655,0.07
bridge,3327,0.06
pcode,3271,0.06
source:health_facility,3257,0.06
refugee,3183,0.06
idp:status_20150514,3151,0.06
building_status,3114,0.06
taxon:it,3066,0.06
taxon:wikidata,3066,0.06
building:adjacency:difference,3050,0.06
scolar_type,2990,0.06
leisure,2978,0.06
bus,2977,0.06
crossing:markings,2974,0.06
building:material,2938,0.06
idp:source_20150514,2934,0.06
type,2911,0.06
paho:id,2851,0.06
paho:commune,2841,0.06
paho:district_id,2841,0.06
paho:region_id,2841,0.06
paho:department,2839,0.06
paho:commune_id,2837,0.06
cycleway:both,2816,0.05
building:roof,2810,0.05
network,2805,0.05
scolar_district,2779,0.05
ford,2736,0.05
tunnel,2730,0.05
id:ssid,2726,0.05
is_in:country,2718,0.05
commune,2714,0.05
is_in:country_code,2690,0.05
households,2687,0.05
sectional,2685,0.05
boundary,2652,0.05
opening_hours,2565,0.05
admin_level,2551,0.05
health_facility:type,2531,0.05
junction,2519,0.05
note,2509,0.05
tracktype,2504,0.05
area,2462,0.05
wikidata,2459,0.05
brownfield:source_20150514,2359,0.05
man_made,2347,0.05
wheelchair,2269,0.04
railway,2265,0.04
attribute_source_name,2224,0.04
trolley_wire,2150,0.04
geometry_source_name,2095,0.04
old_ref,2060,0.04
crossing:island,2017,0.04
Date,1980,0.04
segregated,1926,0.04
check_date,1906,0.04
covered,1883,0.04
source:haiti,1880,0.04
type:haiti,1870,0.04
network:wikidata,1824,0.04
maxspeed:type,1823,0.04
zone:maxspeed,1795,0.03
wikipedia,1760,0.03
earthquake:damage,1696,0.03
power,1633,0.03
lane_markings,1609,0.03
motor_vehicle,1597,0.03
cycleway:left,1520,0.03
source_date,1519,0.03
level,1478,0.03
shelter,1444,0.03
height,1428,0.03
source_type_imagery,1427,0.03
cycleway,1418,0.03
contact_person,1407,0.03
building:irregularity:type,1380,0.03
camp,1375,0.03
horse,1373,0.03
parking_space,1355,0.03
brand,1350,0.03
bench,1344,0.03
network:wikipedia,1340,0.03
trolley_wire:both,1337,0.03
building:approx_footprint_area,1331,0.03
building:damage_grade_Gorkha_eq,1331,0.03
building:primary_occupancy,1331,0.03
building:type_of_construction,1331,0.03
nset:DDA_building_id,1331,0.03
building:age,1330,0.03
width,1320,0.03
building:occupant_num,1312,0.03
source_type_GPS,1285,0.02
source_type_survey,1280,0.02
gender_access,1253,0.02
ref:corine_land_cover,1251,0.02
source:name,1243,0.02
lanes:forward,1237,0.02
source_type_walking_paper,1229,0.02
parking,1212,0.02
office,1207,0.02
disability_access,1202,0.02
fee,1199,0.02
power_source,1161,0.02
alt_name,1149,0.02
school_type,1146,0.02
cuisine,1133,0.02
brand:wikidata,1083,0.02
name:en,1072,0.02
trolley_wire:forward,1067,0.02
fixme,1043,0.02
