key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,244359,11.9952,-29.5336,328.6703
source,38004,1.8656,-39.3276,269.0906
highway,24252,1.1905,-18.2939,397.0453
source:date,19005,0.9329,59.0243,867.3981
name,7375,0.362,-40.7345,260.5318
damage,5383,0.2642,538200.0,3274558.3333
damage:structure,5379,0.264,537800.0,3272125.0
damage:event,4607,0.2262,460600.0,2802491.6667
source:damage,4590,0.2253,458900.0,2792150.0
damage:assessment,4579,0.2248,457800.0,2785458.3333
place,4023,0.1975,1728.6364,11024.2045
surface,3940,0.1934,-49.5519,206.8929
amenity,3061,0.1503,-52.239,190.5458
is_in:country,2543,0.1248,11459.0909,70217.803
is_in:country_code,2537,0.1245,63325.0,385735.4167
waterway,2389,0.1173,-23.5765,364.9099
project,2086,0.1024,-26.4457,347.4553
type:haiti,2075,0.1019,7.9605,556.7595
source:haiti,2066,0.1014,6.7149,549.1822
cosmha,2058,0.101,-24.4216,359.7686
landuse,1869,0.0917,-50.3849,201.8251
practicability,1629,0.08,-0.6707,504.253
addr:country,1626,0.0798,-45.5641,231.1517
area,1611,0.0791,-65.3399,110.8488
natural,1311,0.0644,19.1818,625.0227
barrier,1091,0.0536,-86.2143,-16.137
building:material,1046,0.0513,-75.2133,50.7859
building_status,1030,0.0506,16.1218,606.4074
smoothness,949,0.0466,-72.4928,67.3357
building:levels,948,0.0465,-75.8533,46.8925
operational_status,946,0.0464,-77.7986,35.0583
operational_status_quality,849,0.0417,-74.8965,52.7129
ref,815,0.04,-0.7308,503.8875
source:lca,722,0.0354,72100.0,439116.6667
addr:street,698,0.0343,-51.1888,196.9347
building:roof,685,0.0336,-82.8536,4.3075
surface_condition,682,0.0335,3310.0,20644.1667
fixme,665,0.0326,205.0459,1755.6957
source:lca:date,577,0.0283,57600.0,350908.3333
source:name,557,0.0273,59.5989,870.893
ford,475,0.0233,11.5023,578.3059
lanes,450,0.0221,2.7397,525.0
colour,316,0.0155,184.6847,1631.8318
admin_level,296,0.0145,-17.7778,400.1852
boundary,265,0.013,-29.5213,328.7456
source:geometry,210,0.0103,20900.0,127650.0
source_date,199,0.0098,-73.4312,61.6266
source_type_imagery,191,0.0094,-72.8693,65.045
place:area_alternate,189,0.0093,81.7308,1005.5288
addr:housenumber,177,0.0087,-41.3907,256.5397
addr:city,162,0.008,-85.3659,-10.9756
layer,158,0.0078,-51.2346,196.6564
source_type_GPS,153,0.0075,-28.8372,332.907
source:health_facility,149,0.0073,181.1321,1610.2201
intermittent,147,0.0072,-38.75,272.6042
note,145,0.0071,-76.1513,45.0795
ref:IHSI,145,0.0071,752.9412,5088.7255
source_type_survey,145,0.0071,-44.4444,237.963
pcode,135,0.0066,154.717,1449.5283
place:nearestlandmark,131,0.0064,244.7368,1997.1491
paho:commune,130,0.0064,160.0,1481.6667
paho:commune_id,130,0.0064,160.0,1481.6667
paho:department,130,0.0064,154.902,1450.6536
paho:district_id,130,0.0064,160.0,1481.6667
paho:id,130,0.0064,154.902,1450.6536
paho:region_id,130,0.0064,160.0,1481.6667
health_facility:type,127,0.0062,149.0196,1414.8693
operator,127,0.0062,-88.2298,-28.3982
place:description,125,0.0061,247.2222,2012.2685
service,125,0.0061,-80.4992,18.6297
source_type_walking_paper,124,0.0061,-18.9542,393.0283
bridge,121,0.0059,-42.1053,252.193
source:ref,117,0.0057,95.0,1086.25
leisure,116,0.0057,-71.2159,75.1034
alt_name,114,0.0056,23.913,653.8043
wikipedia,114,0.0056,137.5,1344.7917
paho:type,105,0.0052,250.0,2029.1667
date,97,0.0048,125.5814,1272.2868
ele,89,0.0044,187.0968,1646.5054
man_made,89,0.0044,-96.8112,-80.6013
population,89,0.0044,423.5294,3084.8039
foot,88,0.0043,-69.5502,85.2364
shop,86,0.0042,-97.9669,-87.632
FIXME,84,0.0041,-35.8779,290.0763
phone,84,0.0041,-83.3663,1.1881
name:ht,83,0.0041,124.3243,1264.6396
religion,76,0.0037,-90.8434,-44.2972
is_in,72,0.0035,200.0,1725.0
name:fr,71,0.0035,-38.7931,272.342
power,69,0.0034,-62.2951,129.3716
contact_person,67,0.0033,-86.3265,-16.8197
source:imagery,67,0.0033,-21.1765,379.5098
wikidata,67,0.0033,131.0345,1305.4598
boat,66,0.0032,-43.5897,243.1624
name:en,61,0.003,-22.7848,369.7257
operator_type,59,0.0029,-71.4976,73.3897
generator:source,58,0.0028,-62.0915,130.61
description,57,0.0028,-89.8396,-38.1907
loc_name,57,0.0028,128.0,1287.0
operator:type,55,0.0027,-99.102,-94.5374
damage_status,52,0.0026,-87.2236,-22.2768
historic,50,0.0025,-94.6752,-67.6074
