key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,1408018,8.8185,1783.1323,11355.7213
highway,261916,1.6404,773.2571,5212.314
source,172346,1.0794,1938.1504,12298.7484
landuse,89685,0.5617,1964.0967,12456.588
damage:event,37061,0.2321,3706000.0,22545341.6667
name,25712,0.161,61.5075,882.5042
idp:camp_site,22984,0.1439,2298300.0,13981833.3333
waterway,21859,0.1369,194.1992,1689.7118
surface,15837,0.0992,709.6626,4825.4473
area,14312,0.0896,2600.3774,16327.2956
id,13993,0.0876,1399200.0,8512308.3333
vdccode,13993,0.0876,1399200.0,8512308.3333
vdcname,13993,0.0876,1399200.0,8512308.3333
X,13992,0.0876,1399100.0,8511700.0
Y,13992,0.0876,1399100.0,8511700.0
districtna,13992,0.0876,1399100.0,8511700.0
healthtype,13972,0.0875,1397100.0,8499533.3333
natural,11892,0.0745,269.8911,2150.1711
place,11823,0.074,899.4083,5979.7337
amenity,11189,0.0701,201.8344,1736.1591
note,10934,0.0685,1464.2346,9415.7606
fixme,9887,0.0619,2905.1672,18181.4336
admin_level,9873,0.0618,1120.3956,7324.0729
is_in:country,8169,0.0512,31319.2308,191033.6538
is_in:district,8140,0.051,813900.0,4951733.3333
admin_unit,8138,0.051,813700.0,4950516.6667
mapping_project,8138,0.051,813700.0,4950516.6667
ref,6977,0.0437,124.6297,1266.4976
source:geometry,6704,0.042,1153.0841,7522.9283
tracktype,5645,0.0354,461.1332,3313.5603
building:levels,5456,0.0342,-20.7322,382.2122
leisure,4950,0.031,1159.542,7562.2137
idp:status_20150503,4631,0.029,463000.0,2817091.6667
lanes,4391,0.0275,634.2809,4366.8757
layer,4380,0.0274,136.246,1337.1629
bridge,4339,0.0272,140.1217,1360.7406
smoothness,4242,0.0266,16868.0,103122.0
lit,4069,0.0255,3599.0909,22402.803
brownfield:source_20150503,3876,0.0243,387500.0,2357800.0
emergency:helipad,3406,0.0213,340500.0,2071883.3333
power,3259,0.0204,142.4851,1375.1178
idp:source_20150503,3236,0.0203,323500.0,1968466.6667
sidewalk,2935,0.0184,4633.871,28697.7151
ford,2720,0.017,585.1385,4067.9261
idp:status_20150514,2713,0.017,271200.0,1650308.3333
